ID,Age,LargeHigh,Log10LargeHigh,LargeHighL,LargeHighU,Small High,Log10SmallHigh,SmallHighL,SmallHighU,LargeLow,Log10,L,U,SmallLow,Log10,L,U,Parallel,L,U,Log10(Para),Ortho,L,U,Log10(Ortho),Contrast Suppression index,L,U,95% CI
C060,34.5,156.909,2.195647855,24.949,49.885,37.095,1.569315375,4.956,3.432,83.222,1.920238149,38.491,88.839,49.536,1.694920935,14.77,15.97,3.435,1.412,0.817,0.535926741,1.436,0.407,0.471,0.15715444,0.3789,0.2599,0.1611,0.421
C061,35.33,111.536,2.047415065,34.444,26.533,92.223,1.964839246,32.006,42.069,62.84,1.798236176,21.603,40.106,118.496,2.07370369,55.36,101.353,4.298,1.43,1.474,0.633266411,1.345,0.215,0.205,0.128722284,0.5044,0.1854,0.1496,0.335
C062-2,32.92,132.554,2.122392838,17.012,16.832,45.096,1.654138022,4.148,3.395,56.939,1.755409836,12.603,19.144,75.394,1.877336785,20.876,22.482,3.961,0.307,0.234,0.597804842,1.214,0.147,0.109,0.084218687,0.5137,0.0547,0.0613,0.116
C063,43.08,163.094,2.212437984,41.342,30.853,42.218,1.625497656,3.45,2.693,30.837,1.489072121,3.964,5.697,47.723,1.678727737,9.543,9.75,2.726,1.175,1.993,0.435525851,1.072,0.198,0.16,0.030194785,0.4053,0.2493,0.2677,0.517
C064,26.58,89.042,1.949594906,20.001,33.344,32.574,1.512871092,4.858,3.405,37.245,1.571067979,3.153,2.76,32.872,1.516826128,3.212,3.234,5.121,1.6,2.059,0.709354776,0.931,0.262,0.14,-0.031050319,0.7404,0.1744,0.2176,0.392
C065,20.59,56.539,1.752348123,12.458,12.829,33.068,1.519407929,1.677,1.65,38.45,1.584896344,3.832,3.063,32.178,1.507559047,3.932,3.056,5.709,2.386,2.605,0.756560043,1.463,0.193,0.142,0.165244326,0.591,0.237,0.177,0.414
C066,21.33,159.84,2.203685471,49.976,75.827,46.874,1.670932016,12.426,14.248,96.327,1.983748035,21.89,55.097,47.581,1.677433565,11.442,18.251,5.778,0.793,0.726,0.761777538,1.479,0.351,0.279,0.169968174,0.592,0.101,0.126,0.227
C067,20.42,134.962,2.130211505,37.182,37.712,54.675,1.737788792,11.559,7.863,45.228,1.655407383,11.367,8.242,109.693,2.040178914,14.49,12.933,4.067,2.172,1.232,0.609274172,1.215,0.364,0.347,0.084576278,0.5246,0.3456,0.1924,0.538
C068,33.59,70.445,1.847850173,6.362,4.615,37.153,1.569993888,6.529,4.378,40.782,1.61046852,4.852,8.781,137.644,2.138757285,20.607,12.229,3.079,1.134,1.208,0.488409689,1.106,0.237,0.231,0.043755127,0.4444,0.2164,0.1766,0.393
C069,41,123.797,2.09271012,18.587,11.389,41.797,1.621145111,10.156,19.052,42.353,1.626884178,7.928,14.497,217.998,2.338452509,71.465,94.443,4.673,1.636,4.132,0.669595781,2.741,0.691,0.835,0.437909036,0.2317,0.2257,0.3053,0.531
C070,19.42,105.104,2.021619245,32.947,24.635,36.588,1.56333867,3.477,4.42,42.726,1.630692236,4.629,5.87,71.347,1.853375717,19.699,26.294,6.184,2.353,1.173,0.791269481,0.895,0.311,0.286,-0.048176965,0.8395,0.2435,0.1965,0.44
C071,29.2,187.545,2.27310549,111.719,105.395,39.593,1.59761841,5.624,6.847,63.063,1.799774627,16.486,26.702,76.678,1.884670777,6.697,7.225,9.269,4.818,7.08,0.967032882,1.494,0.229,0.157,0.174350597,0.7925,0.3235,0.2635,0.587
C072,45.2,151.465,2.180312289,58.608,71.193,37.795,1.57743435,2.665,1.698,38.393,1.584252049,11.231,20.608,72.261,1.858903967,21.579,32.273,2.972,1.635,1.242,0.473048805,1.043,0.135,0.056,0.018284308,0.455,0.343,0.171,0.514
